key,value,sum
a2b60af38e5e65bcbc53854a366afa318b0cddaba543650184d141269d7b51dc,b13b40934cd76fc09a5a436cbd0acc218f4413e97a55c3c1e9b0ed92aa80b7ef04459235c693cc18044cd37bb675c8baac8dc5145753bfa94bfc2da1f11fe7d315fe01d6eb0c8e817029c8b07caab20bf1d890e2549fdb310f29b74bb257136ffec4a1295623268e686081fb2888ab88367c96ecf43f40337ad5906e1689ea2a1bf627150ea50c11f6217ba5dcde55ff988987ca55cb32de993ccd4b6c8549b0,3183624004
b72134f1d4ee022ec9816410cf857a890842f9fb49d5d881e8ec71d79656bed9,60377630840def4a34a963fa343fb0a0a1,1756810753
1386f4d181ffffee9f0b097825b40574a3b1e890cfd1d7a2d74e913a72d12788,7427febd1ec91c67b9e4dccb1a4f54bf2e1fa68ac43b499d03c8c3bdcb12a174cf18e450dd6f434804066cf6b92a61396a1884789297d19a2522ce03a18db9c3b54bb0adf21afc36d2644c86af6118634ddfd1f7cc0ec2f05a6dd5b3f620cbd13394d66c410bf63eef872071c642e92d8bcab1feef3f518bc8f929e377f5aacdfbc28c0f60e672fd7b424cc0a894c15a35eec004640dc92c714d5c037b0ba56ab6f57477a4cf68ae2ce70ce64e5d0aec768c8e82585c656870b126500a70fa,2445506827
e5fae57898690354acf9a4386bc1449a953e5604d323ebc2df78d17838f25f75,8bfb6eaecbb3596d4acb3cbe50,1172224931
31419528b7e813d046f2deae356ccd51ccc3d2a990e07d4f6f57342e18cdc956,c344909a15ee00b45ae3b66767e0d21b91263b8de54a334fd6a31fcde745b85076a83ecceea3ca56bcd980eaf608ce0e1d9e66c337526e403f1fe62e711c81658af9d0d6b699aaaaf759913b14c2e25f27ec846015cc1542378d4869d1f867c9d18a8051805c36806855fe32c21c009661ba3df5bc0d9445a9b3be5931758ef19a481a914704f1b682602457031a6db8bb7f3526,1411317378
23adac51b5f6d972e3c149f2e44370db062f36206a315b8c0672215b5d51d65f,3fc4a66f3cf301cc3b05c1537a12647a559b8e6678637a3a44f5e6cffd6d6decdbb56921b671409e88dbd9219b4bd7fee0124ab0d7343146c2c008f76ec312dc481485a60b8e30a2863ad059d327c235621a8f3a51de4b8eb664901369c4582869710a8938ff86f2b81b3eff9a294b9b6320cf2d7259ae3b5f43054f98721b37ab85849344bbd532ef9232174b4c913cd67a7dea5c6c5deb859dfd942a36a6b4005caeb6eba02a1298d68218e8f1b2c491c0d2a9a272d01d915a,2760668195
a4d1673a9c0f518a44d44571e99bbb9d6fec3af9a15a069b0467cf8db3c31872,5fc7ede4b178f3537784926b7c89018818a9a44851101c759d1d7dda6f221be5186ff4cc99dc75ffd3d6c1392989e061739cc9c9b3b2843909ebf5fd187a0e422b454cdd47cb64,2176812540
5b42ef9e2d5a4ef541b62e33cf723f9a3a7054b3f91fd7339b55a0379f4b9fd7,57247abac35a4ba96faf82900df6d0f755ef4f4caed0a5f0e31ecfb3782d67d5cf9120e0a32242727a41960aca2d678ac8c633c11ef41e47799e,638100336
fb6a979c9436655b82018b3b0c36971e4574a65f8c438d6ee960e682cd0eb1d6,c490e370503d8c5328568cbacdf7a7505784a0d90af8e8ab37b908ae4c73103d791e0f348d90b35dcb0b971f7d0796357c2a164a270ce89e84c56acbb23bb33c86f1e16ad42088846dd9e6f005b09ed520bd8c25b60c74e8e74c688d2dd6bb1ab35769715506979458d349d01de34e339955afe28dae695544,1426538680
f6fbf25cb2b461fc463fcc4a764de84b4f5279ddee1e4542509a9a9ad3be748f,f56c62cfc0bc33876f889eb57794c1b04caa1574da64fb5c741f47f8d471b9dd9b60fbd6c00e04efde64379820773709bb0115eaf289c8bc9f0f4d39f80f9a8bcb25331849b480cd9813ba8378bed23c60bcad0b518fbb574ca1f6a27edb21c5cf075a18006d9e6ef38dc4b94aac5c38cfbdebdf921f6b1ed66a88ff6d5a27b519844b27b78cc39663b848ca76d4c9508d5a6819192606c7ba9ec4412ec39ef129fb5926a7ef8f03aa9bab8f0794944c6473089e873cdcb3c46d40d198a06814ffcc7a327848f2b8c9512a7bbaf6a2f91f7643,1754119359
46073b66b6179872f4ffe3580addc1dc048ec50f49965abee7ebb71c744b5931,00ed2ebbe90ffbdce563736de7c665c5ba7d7d5c8b92f2083206e2a5fde71c4982c4a5ae38ac7f4c1c8f35b2d63e082ddc62388a39a0683b6071472c1a88a3df7c48b955f13709219714b94f9e2fc30aa1051010f5de0dee25cdb98b679eb1b3d4f29757,2881668681
3e674e48e6345f5aa26df07cd1b4182b9eafa034cc6704963b9fb79eb811e5ff,96d21329e17f91167df8520e4b907a2423a00d9493e1ec28869fe380da315358792f38c2388eee4015c8c0d8713a714154ed795bfa1179a86ca84faaffc01ef424a0abaf0331bddea12b8e17058b7d890d5ad1e28cf7cfdcc7414de71ca6adab5551da7f662eafdc35ad191643f405213f1891f0abb6d88102ad08fa362673241db016a57c2143f67eb3ce3ed59f5ddc14610b5bcc6fc891b8d7cc304b25b172ddfb358bb67b70408427f29bbf4607adf7854dd10206f66e85d337f83c4a209b408d0dd55b535a8543da207de8a6323137a489ac,33097994
a261e9487735505c2979383ced4207f6134cdff3dc33a247ea59f50847e75736,c4bd4eafe0c8c9e917687c1b7853b5b4230fc570bb565d51f0f403368e4d3e082e7adc28953bd1a867501e056e56f982e96741356f7f64822e,4006410783
b97ba60a45fde36e65061d43004e8895cb5bfdf2c98f5e86d38c1cc47fe4659d,3a537fa86144fceca0c6f02dcc5b705514463fa4e573e26e7f223cbda0ee0959cbbb3c62f9d913115b3e866c420bdafe2ef412fe95a3e4dafde0e564290f8932aed157b6a3e7ad5571a2277309,3948129267
56d1789471f1cdcee4d5226928d98e328a4dbb1dd6f953527b24b0846410aca0,0306ea5af0e7b18679c3c57773d28ce7448f379fc042b1eafbee5c816f3047496d1b9e46069daaa11c06252d7a6edaa21cb18171c787c29258bd332359be93c5ce3b3cd3f39074becbc6b05713a1c4b6a163bc04334e7b93ebf34409ef15691a1f9de77f8ec2e6aeb211263f21c2ecbb7eeccf2179df49a55e898884ede53a31780b9a1ace597ca5d5aaa717794405b909465dfb3db369c7cb65612b51d5b5efb5d8cb8215784eace88c340d190c6189,230205989
12b3cf298b60a023b846d40aafc01660d558c5eacd84ae2139c8a97ee57de001,7283655fd5dc196c31ebde99fe21d9e0af6605faa76049116f321c0feec472c48dc0d12572bb78b71ee8dc0485d09f3fa5dd4a0107d6b13a6f381e0a54b2f0925b6797060bcd79dc395dd33c91f62e8345c9dde76b3683d32686da087091c174372d83bc00ad873a19f60bb490bf19234368af0f21ce9dde628b60550054e971bf0e27c74313e6840d9ddda85e,2785063176
2e9e57cb2ca766b8a402ac14870cc93dce26fa3d0c3f8e2b3e20c8cf32d25faa,8fb66d45bba65634b0f0fe7258ec1c93580a7cfcb203ee20291adbdaab9d20af6890c56d6d430acbffeb1aa128d6fae7bda3e6b11f3f959f342c8a23db263806fa6dfc76ebe0bd18085a57051af6874580fd39a1e45e7577a5c5fcd26035388e332be7089dc5862dfc45ae67c45d6fdb098bbe954ea541bedc6c2cd6179aa58ef4f38e7998dae0a0042b4f7f249ba5517d7cc5046c4cde562d4c4e4bf9aedc8fde1fac010fc362dc08a41aebe41feedaed3fcafd89f2d80612cb76c13bd651ad624056,2032144061
f25e5cd7614c416ca015fadc440b7b38581d12c71a06b9cd26823c29734ee182,3d390f960d130ad460b568c8a840c6dfc6236f285e03095eabb1ef3e3352e8e72e961121ee6d01cb717c0d75657054671887911a061cd144d7ec27c22966b980eafe44302c97cc51ef022d343f0752f0e37c300cf1389e10284a80e0082498c635dff7e71b063ee3dd7707aad7c02d1c6033e0abdbf2,2846087398
fe1dd2cbd0ce48495c5330d9768e3c33718b53d0ad05c40f94aac49c3c64f05a,5adb7d7a1aed939713a6f9e691e37c42d041c48371c706e56204510b478decd21b5ef8ff32d76d97649929727a385342b4821684bfc5917833a123ba1cfde9dbff980308cca8be332f24ae5af0bb6d2ee8b6965bd1f6b7b3866595802ce545710f283327c055f7dd40ad74dc1463fc97e8ea5b5039cad52b7290d3551f18ee4e9c680dc6e29684f4d8a6fedf934b2bd547dce8949ba77776ff2daa4e8f55e94712adc6c533c91dd2f327c9c5cf8f85f380f72d4bf81c7516e917de482f1b4bee28a6e34e7560346973de5676c69afc4a54dbf4,2496650557
0affa3e71d12d0ef518ad732d8b9642ba30807a3a1b3b92ba3a3d72b9f52a151,b2c8aea3895d9aba2c7c80be5f1a35be1aec5307cd39427955bcae5b5c3bb810f3e3d4fa3b4471af199fe28c157ed672ffdca5baa9b772fea71c7f65da2eeaebd15aa04a9a082075527f736a8ebe94464448b845c5854ee63aad45,825788442
855b36312cfcb81fe395c5f0574bb60570666f97f2384bcadb8676f013eb78e2,d12f9797a046f688034755643a61a5b85f74cdbbb8d88a01085f9486d84c2cb7c8cdbd7b34147a5af0b81c7988092b16259a0c750e766b1c0f771912de1619aeb51a7b980e4fa8511e,2822186136
d304c453e57037c1917c43ea374439dc765bb7bea959ed0cac9905aea0bf35ed,0dc0540aeb0d54f691051ad9cfbf2588953ffad0fae16976c7dc54d439,1499779305
a448e4dd809fdfe2b160bfa8dcdc5f76e2a3b3bf47277c7f2abd5d83918b5688,3109cab537fdd6d7d55a093bc9bec558594b3cf9bac75d16d75ed6b37e3e7a7b92d5c18d0b89b4713e063da2cb0a4accf9fdc05748ffdce6b2b509363b143782c9,3161804628
8a252e76ba5a9fdb4110ccd1de4cf329b88939df854f13a5f9be8ee101fc6ef5,63bdc14f5c580986e8571d567dccd4d70f860db5811fce574a5cf8455d7016f2c84426f00678a192b421f90d6874d4af09b462db3d6bdfa899582c5ff15529d5f0723de1413598d0e320c81668f33310c133fdeef693dc3120d6089d8e6a8696d3422344cff8510a8743ba1021ddccb6a82cac5a4fdc250be63e49a734029d265d4f28307649485d3689e5ab986da4cf95dab7f7909ce393b2863a7d444b4041bdf2571c725eca7739956c659827eccaf798c88a7fa506554617ffc2c9bd8ed83ca789d8bf78e875b28ba5976f748724ba742d65,229738911
81d7b669e974e192c87ced2b2df5af60738c59f4ecd63648267a6a68ff598ada,e100fcfa48ff730ad19b98d46c8a32e1d3ef9533fad7b8235edb272879f7fe7209cb0b0c7ad89d875a44531cbdfa9ce46aa8cf0782920376db831377cf2732c237df4530ef2ac1ff540d7200865e261aa2f7617dbd1f22789fb3a4950c9a85525e3b5cfd2e19f9923d2a179528d881c6032c23f91a21cbf5ee70ac795cd82f5b88a2f78e653dd2ebcde42175acc653ada12d6122d500d8a0c06d50,1078932409
28cae0b1033d356e81e158bd5451f92b0907d8c278b2c4a4449c4e3c8e4e732d,5b0f17abed77131636ba1de3d0ebea5f7834773cbeff70f05847b57a3758f2696b2cdc084ed51239439e9d,1046428486
b756b874e7555412600b174e994439fadac307c8bbbf796379eba8a8ed645193,3a7abc3ef20da6749120c50183cec7cf611be751d6366f2f87177b1351255c44e24349d1727755e063ebc0a99a1dd79f4a0074bb12e392532e4abecbf98a5abf5771ad60b0e874b7a461ff9ba22886f17a9b96bb3213c6e9f7d3a719893438149dfb9d73fe93f83e17c9131e6e054e90a0d0c8765c67f6fd7e7f2d34b89c7f9ccf6f943ad8bfdfdc8f10fb00400c297ddb70593163e1e4443eca4443ec3583c2c691e3809545c7e8dade6b4dd07e,3646325538
